NUTS,DISTRICT_CODE,SUB_DISTRICT_CODE,REF_YEAR,REF_DATE,SEX,AGE5,nationality_group,population_count
AT13,90100,90100,2005,2005-01-01,1,2,TCN,10
AT13,90100,90100,2006,2006-01-01,1,2,TCN,11
AT13,90100,90100,2007,2007-01-01,1,2,TCN,15
AT13,90100,90100,2008,2008-01-01,1,2,TCN,11
AT13,90100,90100,2009,2009-01-01,1,2,TCN,10
AT13,90100,90100,2010,2010-01-01,1,2,TCN,12
AT13,90100,90100,2011,2011-01-01,1,2,TCN,10
AT13,90100,90100,2012,2012-01-01,1,2,TCN,8
AT13,90100,90100,2013,2013-01-01,1,2,TCN,5
AT13,90100,90100,2014,2014-01-01,1,2,TCN,10
AT13,90100,90100,2015,2015-01-01,1,2,TCN,17
AT13,90100,90100,2016,2016-01-01,1,2,TCN,22
AT13,90100,90100,2017,2017-01-01,1,2,TCN,24
AT13,90100,90100,2018,2018-01-01,1,2,TCN,25
AT13,90100,90100,2019,2019-01-01,1,2,TCN,16
AT13,90100,90100,2020,2020-01-01,1,2,TCN,14
AT13,90100,90100,2021,2021-01-01,1,2,TCN,18
AT13,90100,90100,2022,2022-01-01,1,2,TCN,21
AT13,90100,90100,2023,2023-01-01,1,2,TCN,21
AT13,90100,90100,2024,2024-01-01,1,2,TCN,30
AT13,90100,90100,2025,2025-01-01,1,2,TCN,18
AT13,90100,90100,2002,2002-01-01,1,3,AUT,232
AT13,90100,90100,2003,2003-01-01,1,3,AUT,235
AT13,90100,90100,2004,2004-01-01,1,3,AUT,234
AT13,90100,90100,2005,2005-01-01,1,3,AUT,233
AT13,90100,90100,2006,2006-01-01,1,3,AUT,221
AT13,90100,90100,2007,2007-01-01,1,3,AUT,223
AT13,90100,90100,2008,2008-01-01,1,3,AUT,215
AT13,90100,90100,2009,2009-01-01,1,3,AUT,213
AT13,90100,90100,2010,2010-01-01,1,3,AUT,233
AT13,90100,90100,2011,2011-01-01,1,3,AUT,230
AT13,90100,90100,2012,2012-01-01,1,3,AUT,230
AT13,90100,90100,2013,2013-01-01,1,3,AUT,215
AT13,90100,90100,2014,2014-01-01,1,3,AUT,220
AT13,90100,90100,2015,2015-01-01,1,3,AUT,216
AT13,90100,90100,2016,2016-01-01,1,3,AUT,207
AT13,90100,90100,2017,2017-01-01,1,3,AUT,194
AT13,90100,90100,2018,2018-01-01,1,3,AUT,189
AT13,90100,90100,2019,2019-01-01,1,3,AUT,177
AT13,90100,90100,2020,2020-01-01,1,3,AUT,161
AT13,90100,90100,2021,2021-01-01,1,3,AUT,173
AT13,90100,90100,2022,2022-01-01,1,3,AUT,178
AT13,90100,90100,2023,2023-01-01,1,3,AUT,179
AT13,90100,90100,2024,2024-01-01,1,3,AUT,194
AT13,90100,90100,2025,2025-01-01,1,3,AUT,216
AT13,90100,90100,2002,2002-01-01,1,3,EEA,15
AT13,90100,90100,2003,2003-01-01,1,3,EEA,15
AT13,90100,90100,2004,2004-01-01,1,3,EEA,18
AT13,90100,90100,2005,2005-01-01,1,3,EEA,14
AT13,90100,90100,2006,2006-01-01,1,3,EEA,22
AT13,90100,90100,2007,2007-01-01,1,3,EEA,21
AT13,90100,90100,2008,2008-01-01,1,3,EEA,19
AT13,90100,90100,2009,2009-01-01,1,3,EEA,17
AT13,90100,90100,2010,2010-01-01,1,3,EEA,20
AT13,90100,90100,2011,2011-01-01,1,3,EEA,25
AT13,90100,90100,2012,2012-01-01,1,3,EEA,26
AT13,90100,90100,2013,2013-01-01,1,3,EEA,30
AT13,90100,90100,2014,2014-01-01,1,3,EEA,27
AT13,90100,90100,2015,2015-01-01,1,3,EEA,22
AT13,90100,90100,2016,2016-01-01,1,3,EEA,23
AT13,90100,90100,2017,2017-01-01,1,3,EEA,25
AT13,90100,90100,2018,2018-01-01,1,3,EEA,19
AT13,90100,90100,2019,2019-01-01,1,3,EEA,25
AT13,90100,90100,2020,2020-01-01,1,3,EEA,28
AT13,90100,90100,2021,2021-01-01,1,3,EEA,30
AT13,90100,90100,2022,2022-01-01,1,3,EEA,36
AT13,90100,90100,2023,2023-01-01,1,3,EEA,31
AT13,90100,90100,2024,2024-01-01,1,3,EEA,37
AT13,90100,90100,2025,2025-01-01,1,3,EEA,31
AT13,90100,90100,2002,2002-01-01,1,3,REU,7
AT13,90100,90100,2003,2003-01-01,1,3,REU,8
